pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
112.2,-113.24,90.0,top,C1,,,C_0805_2012Metric,C_0805_2012Metric,smt
120.45,-81.51,0.0,top,C10,,,C_0805_2012Metric,C_0805_2012Metric,smt
112.28,-84.64,90.0,top,C2,,,C_0805_2012Metric,C_0805_2012Metric,smt
115.95,-115.1,0.0,top,C3,,,C_0805_2012Metric,C_0805_2012Metric,smt
116.07,-84.02,0.0,top,C4,,,C_0805_2012Metric,C_0805_2012Metric,smt
116.07,-81.51,0.0,top,C5,,,C_0805_2012Metric,C_0805_2012Metric,smt
120.37,-115.11,0.0,top,C6,,,C_0805_2012Metric,C_0805_2012Metric,smt
120.34,-112.57,0.0,top,C7,,,C_0805_2012Metric,C_0805_2012Metric,smt
120.44,-86.54,0.0,top,C8,,,C_0805_2012Metric,C_0805_2012Metric,smt
120.45,-84.04,0.0,top,C9,,,C_0805_2012Metric,C_0805_2012Metric,smt
119.18,-99.895,0.0,top,J15,,,RAM Module,RAM Module,smt
115.95,-112.57,0.0,top,R1,,,R_0805_2012Metric,R_0805_2012Metric,smt
116.06,-86.54,0.0,top,R2,,,R_0805_2012Metric,R_0805_2012Metric,smt
130.4,-107.0,180.0,top,U1,,,SOJ-28_10.16x18.415mm_P1.27mm,51W17800TT6,smt
130.4,-88.0,180.0,top,U2,,,SOJ-28_10.16x18.415mm_P1.27mm,51W17800TT6,smt
143.2,-107.0,180.0,top,U3,,,SOJ-28_10.16x18.415mm_P1.27mm,51W17800TT6,smt
143.2,-88.0,180.0,top,U4,,,SOJ-28_10.16x18.415mm_P1.27mm,51W17800TT6,smt
130.4,-107.0,0.0,bottom,U5,,,SOJ-28_10.16x18.415mm_P1.27mm,51W17800TT6,smt
130.4,-88.0,0.0,bottom,U6,,,SOJ-28_10.16x18.415mm_P1.27mm,51W17800TT6,smt
143.2,-107.0,0.0,bottom,U7,,,SOJ-28_10.16x18.415mm_P1.27mm,51W17800TT6,smt
143.2,-88.0,0.0,bottom,U8,,,SOJ-28_10.16x18.415mm_P1.27mm,51W17800TT6,smt
